industry_code,avg_hrly_earnings,total_employment,women_employment,naics_supersector,naics_code,naics_sector_rollup,women_percentage,source
31332800,20.6,134.9,30.2,31,332800,33,0.22386953298739806,ces
31332812,20.75,75.6,16.2,31,332812,33,0.2142857142857143,ces
31332813,20.53,59.4,14.1,31,332813,33,0.23737373737373738,ces
31332900,27.14,270.4,59.1,31,332900,33,0.21856508875739647,ces
31332910,27.09,86.3,21.4,31,332910,33,0.24797219003476245,ces
31332912,,34.8,,31,332912,33,,ces
31332919,,51.6,,31,332919,33,,ces
31332990,27.02,184.3,37.7,31,332990,33,0.20455778621812262,ces
31332994,,45.4,,31,332994,33,,ces
31332999,,138.7,,31,332999,33,,ces
